,Name,Type,Park Code,Org Code,Region,NameType
250,LOWELL  ,NHP,LOWE,1780,NER,LOWELL NHP
251,LYNDON B. JOHNSON    ,NHP,LYJO,"
7350-7359",IMR,LYNDON B. JOHNSON NHP
252,LYNDON BAINES JOHNSON MEMORIAL GROVE ON THE POTOMAC,NMEM,GWMP,3301-3321,NCR,LYNDON BAINES JOHNSON MEMORIAL GROVE ON THE POTOMAC NMEM
253,MAGGIE L. WALKER  ,NHS,MAWA,4790,NER,MAGGIE L. WALKER NHS
254,MAMMOTH CAVE     ,NP,MACA,5530-5536,SER,MAMMOTH CAVE NP
255,MANASSAS      ,NBP,MANA,3840,NCR,MANASSAS NBP
256,MANHATTAN PROJECT,NHP,MAPR,1480,IMR,MANHATTAN PROJECT NHP
260,MANZANAR      ,NHS,MANZ,8760,PWR,MANZANAR NHS
261,MARSH-BILLINGS-ROCKEFELLER  ,NHP,MABI,1818,NER,MARSH-BILLINGS-ROCKEFELLER NHP
263,"MARTIN LUTHER KING, JR.",NHP,MALU,5560,SER,"MARTIN LUTHER KING, JR. NHP"
264,MARTIN VAN BUREN  ,NHS,MAVA,1950,NER,MARTIN VAN BUREN NHS
266,MESA VERDE    ,NP,MEVE,1490-1496,IMR,MESA VERDE NP
267,MINUTE MAN  ,NHP,MIMA,1820,NER,MINUTE MAN NHP
268,MINUTEMAN MISSILE       ,NHS,MIMI,1305,MWR,MINUTEMAN MISSILE NHS
269,MISSISSIPPI NATIONAL RIVER AND RECREATION AREA,NR&RA,MISS,1305,MWR,MISSISSIPPI NATIONAL RIVER AND RECREATION AREA NR&RA
270,MISSOURI NATIONAL RECREATIONAL RIVER,NRR,MNRR,1305,MWR,MISSOURI NATIONAL RECREATIONAL RIVER NRR
271,MOJAVE    ,NP&PRES,MOJA,"
8380-8388
",PWR,MOJAVE NP&PRES
272,MONOCACY    ,NB,MONO,3130-3150,NCR,MONOCACY NB
273,MONTEZUMA CASTLE    ,NM,MOCA,8650,IMR,MONTEZUMA CASTLE NM
274,MOORES CREEK     ,NB,MOCR,5550,SER,MOORES CREEK NB
275,MORRISTOWN,NHP,MORR,1830,NER,MORRISTOWN NHP
276,MOUNT RAINIER    ,NP,MORA,9450-9458,PWR,MOUNT RAINIER NP
277,MOUNT RUSHMORE     ,NMEM,MORU,1305,MWR,MOUNT RUSHMORE NMEM
278,MUIR WOODS    ,NM,MUWO,8180,PWR,MUIR WOODS NM
279,NATCHEZ   ,NHP,NATC,5565,SER,NATCHEZ NHP
280,NATCHEZ TRACE NATIONAL SCENIC TRAIL       ,NST,NATR,5570-5578 ,SER,NATCHEZ TRACE NATIONAL SCENIC TRAIL NST
281,NATCHEZ TRACE PARKWAY  ,PW,NATR,5570-5578 ,SER,NATCHEZ TRACE PARKWAY PW
282,NATIONAL  MALL,OTHER,NAMA,3401-3430,NCR,NATIONAL  MALL OTHER
283,"NATIONAL CAPITAL PARKS - EAST (includes Fort Washington, Frederick Douglass, Greenbelt Park, Mary McLeod Bethune Council House, Oxen Hill, Carter G. Woodson, etc.)",OTHER,NACE,3501-3564,NCR,"NATIONAL CAPITAL PARKS - EAST (includes Fort Washington, Frederick Douglass, Greenbelt Park, Mary McLeod Bethune Council House, Oxen Hill, Carter G. Woodson, etc.) OTHER"
284,NATIONAL MALL AND MEMORIAL PARKS,OTHER,NAMA,3401-3430,NCR,NATIONAL MALL AND MEMORIAL PARKS OTHER
285,MINIDOKA     ,NHS,MIIN,9360,PWR,MINIDOKA NHS
286,NATIONAL PARK  OF AMERICAN SAMOA,NP,NPSA,8770,PWR,NATIONAL PARK  OF AMERICAN SAMOA NP
287,NATURAL BRIDGES    ,NM,NABR,1349,IMR,NATURAL BRIDGES NM
288,NAVAJO    ,NM,NAVA,7430,IMR,NAVAJO NM
289,NEW BEDFORD WHALING ,NHP,NEBE,1842,NER,NEW BEDFORD WHALING NHP
290,NEW ORLEANS JAZZ    ,NHP,JAZZ,5705,SER,NEW ORLEANS JAZZ NHP
291,NEW RIVER GORGE ,NR,NERI,4780/4783-4788,NER,NEW RIVER GORGE NR
292,NEZ PERCE    ,NHP,NEPE,9370-9377,PWR,NEZ PERCE NHP
293,NICODEMUS       ,NHS,NICO,6345,MWR,NICODEMUS NHS
294,NINETY SIX       ,NHS,NISI,5610,SER,NINETY SIX NHS
295,NIOBRARA       ,NSR,NIOB,6630,MWR,NIOBRARA NSR
297,NORTH CASCADES    ,NP,NOCA,9470-9479,PWR,NORTH CASCADES NP
298,OBED      ,W&SR,OBRI,5640,SER,OBED W&SR
299,OCMULGEE     ,NM,OCMU,5620,SER,OCMULGEE NM
300,OLYMPIC    ,NP,OLYM,9500-9512,PWR,OLYMPIC NP
301,OREGON CAVES    ,NM&PRE,ORCA,9340,PWR,OREGON CAVES NM&PRE
